Family,Method,Precision,Forget Q&A Prob,Forget Truth Ratio,Model Utility
MaxEnt,MaxEnt,FP16,0.000857260574002872,0.0016883807460195686,0.46543828887590205
MaxEnt,MaxEnt,INT4,0.000896330069690165,0.002001841629429511,0.4169758756951482
MaxEnt,MaxEnt + Distilled,FP16,0.23429837784659974,0.4844410151530395,0.46028133357637274
MaxEnt,MaxEnt + Distilled,INT4,0.19726657183005414,0.4844014692603696,0.39190462018134464
UNDO,UNDO,FP16,0.0006113575196209221,0.0003985999278199514,0.5671237914363656
UNDO,UNDO,INT4,0.0005890502824124969,0.00047376222632560466,0.5167774609805695
UNDO,UNDO + Distilled,FP16,0.0037956803710604147,0.8339180349101988,0.004523100201145488
UNDO,UNDO + Distilled,INT4,0.0036973325009959286,0.8437001034837809,0.00435026887567074
